label,id,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,Theta,Iota,Kappa,Lambda,omikron
0,1486569176,3661,1278.5,3,114000,2,11,9,112,1,60010,200,0.02678571429
0,2124718,3661,1253,3,72000,2,11,9,112,3,330008,165.9759019,0.02678571429
0,1489066748,3661,1275.5,3,136000,2,11,5,113,4,151304,1,0.02654867257
0,1485183120,2615,1272.5,3,108000,2,15,5,113,4,450015,200,0.02654867257
0,1489267459,3661,1308.5,1,442000,2,11,9,106,4,151011,1,0.009433962264
0,1492568246,2092,1232,3,100000,2,8,5,95,3,350012,200,0.03157894737
0,1487964507,3661,1286,1,86000,2,11,-1,95,5,72000,1,0.01052631579
0,1488426402,3661,1214,3,81000,2,11,9,114,4,450012,204.9390153,0.02631578947
0,1489360580,3661,1292,1,132000,2,11,5,64,3,60018,187.0828693,0.015625
0,1487601298,3661,1272.5,1,229000,2,11,-1,112,3,450000,173.2050808,0.008928571429
0,1486293152,3661,1223,3,63000,2,11,5,113,4,151300,1,0.02654867257
0,1301840,3661,1292,3,163000,2,11,5,109,5,60016,187.0828693,0.02752293578
1,1490297726,2092,,2,94000,2,8,-1,109,5,340006,200,0.01834862385
0,1487335291,3661,1358,3,500000,2,11,2,112,5,510000,316.227766,0.02678571429
0,1491029338,2092,1241,3,52000,2,8,5,110,4,151011,1,0.02727272727
0,1490892068,2092,1352,3,75000,2,8,9,105,5,151300,200,0.02857142857
0,1485005411,2615,1215.5,3,94000,2,15,-1,86,5,550088,223.6067977,0.03488372093
0,1484562066,2615,1304,3,150000,2,15,5,105,5,550107,264.5751311,0.02857142857
0,1491227081,2092,1250,3,95000,2,8,9,111,4,60047,1,0.02702702703
1,3289287,2092,1334,3,35000,2,8,5,77,3,151000,1,0.03896103896
0,1489955293,2092,1214,3,81000,2,8,5,111,1,60043,202.4845673,0.02702702703
0,1491311298,2092,1280,3,96000,2,8,9,112,4,60062,1,0.02678571429
0,1492725179,2092,1356.5,1,136000,2,8,5,74,3,72000,1,0.01351351351
0,1492012117,2092,1253,1,468000,2,8,5,81,5,60016,204.9390153,0.01234567901
0,1486938321,3661,1362.5,3,83000,2,11,9,100,4,151300,174.2067737,0.03
0,1486081311,2615,1236.5,1,52000,2,15,5,112,4,550009,172.6151789,0.008928571429
0,1491150284,2092,1400,3,383000,1,8,5,100,5,60024,212.1320344,0.03
0,1485248045,2615,1211,3,97000,2,15,5,86,5,151300,1,0.03488372093
1,1490536279,2092,1320.5,1,128000,2,8,-1,112,5,341774,206.4291646,0.008928571429
0,911548,2615,1241,3,60000,2,15,5,90,5,60000,200,0.03333333333
0,1459886,3661,1278.5,1,105000,2,11,-1,112,4,450002,158.113883,0.008928571429
0,772423,2615,1248.5,1,286000,2,15,-1,112,4,450094,173.2050808,0.008928571429
1,946051,2615,1371.5,3,83000,2,15,5,95,3,350704,165.6653253,0.03157894737
0,1488328087,3661,,3,156000,2,11,5,84,5,450069,165.8312395,0.03571428571
0,1487218797,3661,1328,1,105000,2,11,-1,109,4,60095,200,0.009174311927
0,1490594897,2092,1356.5,3,143000,2,8,5,107,5,60054,158.113883,0.02803738318
0,1492015827,2092,,2,57000,2,8,5,107,5,151300,194.9358869,0.01869158879
0,1492031038,2092,1214,3,82000,1,8,5,100,5,60019,167.3320053,0.03
0,2007111,3661,1232,1,96000,2,11,9,88,5,151300,233.520877,0.01136363636
0,1286258,3661,,3,100000,2,11,-1,110,5,450002,167.3320053,0.02727272727
0,877045,2615,1257.5,3,35000,2,15,-1,89,5,60005,1,0.03370786517
0,1488123295,3661,1257.5,3,95000,1,11,4,111,4,450015,244.9489743,0.02702702703
0,1484257846,2615,1341.5,3,66000,2,15,4,73,5,450083,181.6590212,0.04109589041
0,1488524717,3661,,2,90000,2,11,2,114,4,151300,173.2050808,0.01754385965
0,1492106351,2092,1250,3,103000,2,8,9,104,5,60071,207.3644135,0.02884615385
0,1490180490,2092,1166,3,176000,2,8,5,87,5,60094,1,0.03448275862
0,1485517762,2615,1319,3,15000,2,15,5,114,3,450069,158.113883,0.02631578947
0,1484591004,2615,1338.5,3,107000,2,15,5,113,4,72000,1,0.02654867257
0,1484871480,2615,1310,3,325000,2,15,5,83,3,71000,1,0.03614457831
1,1488354057,3661,1239.5,3,79000,2,11,8,111,5,71003,1,0.02702702703
0,1489843993,2092,1287.5,3,206000,2,8,9,102,3,72000,202.4845673,0.02941176471
0,1487748585,3661,1284.5,3,144000,2,11,4,96,3,71002,1,0.03125
0,1490498066,2092,1275.5,3,136000,2,8,5,113,4,60000,1,0.02654867257
1,3371649,2092,,2,66000,2,8,9,113,4,72002,162.4499923,0.01769911504
1,1490671694,2092,,2,446000,2,8,-1,90,5,60014,1,0.02222222222
0,1808255,3661,1322,1,141000,2,11,5,84,3,60004,1,0.0119047619
0,343547,2615,,2,89000,2,15,2,87,3,60036,171.9098601,0.02298850575
0,1865389,3661,1214,3,58000,2,11,5,112,3,450080,145.6021978,0.02678571429
0,1489086782,3661,1230.5,3,69000,1,11,9,72,5,151300,187.0828693,0.04166666667
0,1491926045,2092,,2,86000,2,8,5,114,5,151300,169.1123887,0.01754385965
0,1487569021,3661,1298,1,71000,2,11,-1,113,4,72000,1,0.008849557522
1,1484983893,2615,1316,3,48000,2,15,5,114,4,450033,297.5281499,0.02631578947
1,754244,2615,1245.5,3,81000,2,15,5,80,5,60004,1,0.0375
1,1554862,3661,1214,3,51000,2,11,9,111,5,72000,1,0.02702702703
0,1489565372,2092,1328,3,148000,2,8,2,110,5,60064,1,0.02727272727
0,2597001,2092,1260.5,3,143000,2,8,9,110,4,60016,202.4845673,0.02727272727
0,2460102,2092,1214,3,99000,2,8,5,112,4,72000,200,0.02678571429
0,2477168,2092,1244,3,119000,2,8,9,100,3,60067,1,0.03
0,2328768,3661,1329.5,1,115000,2,11,-1,86,3,341349,141.4213562,0.01162790698
0,1490852000,2092,1275.5,3,284000,2,8,5,107,5,60000,1,0.02803738318
0,3462173,2092,1304,1,35000,2,8,5,105,3,340019,181.6590212,0.009523809524
1,1491279763,2092,1179.5,3,49000,1,8,5,105,5,60032,173.2050808,0.02857142857
1,1484425538,2615,,2,45000,2,15,9,113,4,72000,118.6844556,0.01769911504
0,1484541661,2615,1292,3,172000,2,15,8,113,5,350092,223.6067977,0.02654867257
0,1486576596,3661,1364,3,106000,2,11,5,86,3,510003,187.0828693,0.03488372093
0,1486924223,3661,1281.5,1,304000,2,11,-1,111,4,450001,244.9489743,0.009009009009
0,1489305672,3661,1340,1,80000,2,11,5,110,4,71002,162.4869226,0.009090909091
0,1490981479,2092,1200.5,3,69000,2,8,5,104,5,60064,1,0.02884615385
0,1486066842,2615,1236.5,1,104000,2,15,3,112,3,550016,200,0.008928571429
0,1486991745,3661,1283,3,146000,2,11,5,110,4,151300,241.5491668,0.02727272727
0,1487550100,3661,1365.5,1,150000,2,12,-1,110,5,350012,1,0.009090909091
1,1488031658,3661,1344.5,3,137000,2,11,5,101,5,72000,1,0.0297029703
0,1488684989,3661,,2,72000,2,11,5,109,3,60019,169.4845126,0.01834862385
0,1484940857,2615,1305.5,3,130000,2,15,5,100,5,60016,1,0.03
0,1485517391,2615,1362.5,1,114000,2,15,-1,112,4,361005,1,0.008928571429
0,1486755047,3661,1350.5,3,176000,2,11,9,102,3,151004,1,0.02941176471
0,1486566208,3661,1362.5,1,150000,2,11,-1,90,5,350020,316.227766,0.01111111111
1,1490784107,2092,1251.5,3,51000,2,8,-1,74,5,60041,1,0.04054054054
0,1489251135,3661,1214,3,58000,2,11,9,103,4,60091,1,0.02912621359
0,2634843,2092,1287.5,3,107000,2,8,9,114,4,60043,200,0.02631578947
0,1490521439,2092,1338.5,3,165000,2,8,5,111,5,151300,288.0972058,0.02702702703
0,949761,2615,1229,3,50000,2,15,9,110,5,450071,200,0.02727272727
0,1485407204,2615,1250,3,93000,2,15,7,111,5,350062,244.9489743,0.02702702703
0,1490432028,2092,1214,3,81000,2,8,9,101,4,60040,1,0.0297029703
0,1491576563,2092,1301,3,144000,2,8,9,113,4,60001,212.1320344,0.02654867257
0,2937950,2092,1230.5,3,85000,2,8,5,86,5,72000,1,0.03488372093
0,1486057938,2615,1248.5,1,81000,2,15,9,79,3,450033,187.0828693,0.01265822785
0,1491270859,2092,1287.5,1,112000,2,8,5,90,3,330015,1,0.01111111111
0,1491641117,2092,1314.5,3,89000,2,8,5,111,4,151009,1,0.02702702703
0,2240099,3661,1203.5,3,71000,2,11,5,110,3,151300,200,0.02727272727
0,1484533499,2615,1215.5,3,100000,2,15,5,110,5,450015,258.0852572,0.02727272727
0,2563982,2092,1343,3,110000,2,8,2,105,5,60043,1,0.02857142857
0,1492177212,2092,1292,3,187000,2,8,-1,114,4,60019,273.0347963,0.02631578947
0,1485371959,2615,1305.5,3,72000,2,15,5,100,5,151300,1,0.03
0,1484888917,2615,1205,3,94000,2,15,5,103,1,60000,1,0.02912621359
0,1488224207,3661,1307,1,80000,2,11,5,95,5,60026,1,0.01052631579
0,1492217651,2092,1305.5,1,129000,2,8,5,81,5,60014,1,0.01234567901
0,1486571402,3661,1248.5,3,146000,2,11,10,105,5,350704,339.9441131,0.02857142857
0,1491601049,2092,,2,113000,2,8,9,93,5,72001,211.8419222,0.02150537634
0,1485826434,2615,,3,50000,2,15,9,110,5,450080,194.9358869,0.02727272727
0,2484588,2092,1163,3,42000,2,8,10,113,4,151300,1,0.02654867257
0,1486437471,3661,1223,3,68000,1,11,5,84,5,60014,158.113883,0.03571428571
1,1491143235,2092,1187,3,100000,2,8,5,102,3,60017,547.7225575,0.02941176471
0,2071294,3661,1223,3,72000,2,11,-1,114,5,151300,167.3320053,0.02631578947
0,1055125,3661,1191.5,3,70000,2,11,9,107,5,450032,192.3538406,0.02803738318
0,1484802474,2615,1371.5,3,82000,2,15,5,115,5,151300,1,0.02608695652
0,1810481,3661,1371.5,3,121000,2,11,9,85,3,60004,1,0.03529411765
0,1491196659,2092,1346,1,102000,2,8,-1,100,5,60095,200,0.01
0,1490148213,2092,1311.5,3,150000,2,8,9,83,5,60052,1,0.03614457831
0,1046221,3661,1245.5,3,68000,2,11,5,111,4,60091,200,0.02702702703
0,1485584171,2615,1278.5,1,98000,2,15,-1,82,5,450033,173.2050808,0.01219512195
0,3382408,2092,1338.5,1,150000,2,8,5,110,5,60029,316.227766,0.009090909091
0,127625,2615,1320.5,3,130000,2,15,5,85,5,60047,212.1320344,0.03529411765
1,3061122,2092,1238,3,75000,2,8,5,104,4,72001,1,0.02884615385
1,2284990,3661,1239.5,1,238000,2,11,5,110,4,60014,200,0.009090909091
0,1486111362,2615,1241,3,66000,2,15,9,115,3,350077,174.3444866,0.02608695652
1,1484148772,2615,1322,3,195000,2,15,5,90,3,60033,240.8318916,0.03333333333
0,1284774,3661,1320.5,3,108000,2,11,5,110,4,510068,248.997992,0.02727272727
0,1485810110,2615,,3,71000,2,15,-1,90,4,450000,158.113883,0.03333333333
0,1491487152,2092,1242.5,3,70000,1,8,5,103,3,60040,181.6590212,0.02912621359
0,138013,2615,1332.5,3,325000,2,15,5,103,5,151009,200,0.02912621359
0,1485296275,2615,,2,35000,2,16,-1,113,4,527000,163.4258242,0.01769911504
1,1491928642,2092,1332.5,1,106000,2,8,5,100,3,60033,1,0.01
0,2153656,3661,1347.5,1,392000,2,11,4,114,4,60018,1,0.008771929825
0,1490862759,2092,1302.5,3,410000,2,8,9,84,5,60018,1,0.03571428571
0,1489688544,2092,1250,1,87000,2,8,5,105,5,60069,212.1320344,0.009523809524
0,1486067584,2615,,2,50000,2,15,5,108,4,450000,169,0.01851851852
0,1490066964,2092,,2,90000,2,8,5,79,5,72001,173.2050808,0.0253164557
0,1487109352,3661,1278.5,1,88000,2,11,-1,89,5,60001,1,0.01123595506
0,1488449404,3661,1298,1,100000,2,11,9,112,4,552104,178.8854382,0.008928571429
0,2267182,3661,,2,255000,2,11,5,99,3,60058,223.6067977,0.0202020202
0,1487547132,3661,1377.5,3,500000,2,11,2,89,5,350052,387.2983346,0.03370786517
0,1486587355,3661,1223,3,81000,2,11,5,114,4,151300,194.9358869,0.02631578947
0,2656361,2092,1304,1,257000,2,8,5,75,5,72000,212.1320344,0.01333333333
0,257104,2615,1314.5,3,117000,2,15,5,109,5,60018,200,0.02752293578
1,1492275156,2092,1257.5,3,105000,2,8,5,73,3,151009,1,0.04109589041
0,313496,2615,1230.5,3,78000,2,15,5,85,5,72000,232.3790008,0.03529411765
0,1492509628,2092,1320.5,1,138000,2,8,9,108,3,60000,212.407627,0.009259259259
0,1488431967,3661,1340,1,99000,2,11,-1,85,5,350069,181.1077028,0.01176470588
0,1490522552,2092,1293.5,1,114000,2,8,5,111,4,72001,1,0.009009009009
0,1489639943,2092,1266.5,3,207000,2,9,5,100,1,71002,316.227766,0.03
0,1485319277,2615,1256,3,128000,2,15,5,114,4,510065,167.3320053,0.02631578947
0,2326542,3661,1274,1,120000,2,11,5,84,5,151300,1,0.0119047619
0,1486400000,3661,1251.5,3,240000,2,11,5,85,3,151300,194.9358869,0.03529411765
0,1487297449,3661,1277,1,150000,2,11,5,95,5,60015,1,0.01052631579
1,1053270,3661,1230.5,3,72000,2,11,5,85,5,60069,1,0.03529411765
0,1490183087,2092,1322,3,199000,2,8,5,111,4,72000,1,0.02702702703
0,1348586,3661,1262,1,104000,2,11,8,107,4,60045,1,0.009345794393
1,1490145987,2092,1253,3,84000,2,8,5,107,4,72001,173.2050808,0.02803738318
0,2342124,3661,1262,1,94000,2,11,5,89,3,60018,187.0828693,0.01123595506
1,1486353625,3661,,2,50000,2,11,5,112,5,72000,181.5543996,0.01785714286
0,1363426,3661,1290.5,3,116000,2,11,5,85,5,151300,223.6067977,0.03529411765
0,1491290893,2092,1239.5,3,68000,2,8,5,84,5,60052,1,0.03571428571
0,1492721098,2092,1256,1,68000,2,8,5,105,3,350058,163.86885,0.009523809524
0,2953903,2092,1235,3,84000,2,8,5,82,5,60044,1,0.03658536585
0,1485378637,2615,1322,3,195000,2,15,9,95,5,60000,200,0.03157894737
1,1491780613,2092,1325,1,126000,2,8,9,106,5,71003,1,0.009433962264
1,1485722554,2615,1250,3,50000,2,15,5,84,5,350702,200,0.03571428571
0,1484891885,2615,1223,3,56000,2,15,5,112,4,151300,212.1320344,0.02678571429
0,1491221516,2092,1332.5,3,153000,2,8,5,112,4,72001,1,0.02678571429
0,2572144,2092,1269.5,3,162000,2,8,9,81,5,60019,1,0.03703703704
1,1489638459,2092,1305.5,3,130000,2,8,5,112,5,361047,1,0.02678571429
1,1484880384,2615,1347.5,3,150000,2,15,5,110,5,72000,538.5387637,0.02727272727
0,1484575793,2615,1257.5,3,91000,2,15,5,94,5,60043,200,0.03191489362
0,1484938260,2615,1290.5,1,106000,2,15,-1,112,3,450019,204.9390153,0.008928571429
0,1484884465,2615,1292,3,130000,2,15,2,111,4,71000,173.2050808,0.02702702703
0,1848694,3661,1308.5,3,194000,2,11,5,105,4,60051,223.6067977,0.02857142857
0,2106168,3661,1278.5,3,131000,2,11,5,110,3,60001,1,0.02727272727
0,1491459698,2092,1328,3,123000,1,8,5,99,3,151009,173.2050808,0.0303030303
0,1365652,3661,1298,1,114000,2,11,5,103,3,60014,173.2050808,0.009708737864
0,1491782468,2092,1260.5,3,110000,2,8,5,109,4,151300,1,0.02752293578
0,1528150,3661,1250,3,82000,2,11,5,105,5,72000,1,0.02857142857
1,3390570,2092,1256,1,120000,2,8,5,99,4,151000,173.2050808,0.0101010101
0,898192,2615,1278.5,3,35000,2,15,5,80,5,60005,1,0.0375
0,1489027051,3661,1233.5,3,78000,2,11,5,105,3,60036,1,0.02857142857
0,3425073,2092,1271,3,120000,2,8,5,89,3,60001,200,0.03370786517
0,3245138,2092,1292,3,195000,2,8,5,112,4,151300,1,0.02678571429
1,1491168834,2092,1287.5,3,120000,2,8,9,114,5,60059,1,0.02631578947
0,1489745678,2092,,2,90000,2,8,5,113,4,151307,189.5837546,0.01769911504
1,1487239573,3661,,2,93000,2,11,5,108,5,60000,189.2247341,0.01851851852
0,1489011098,3661,1362.5,3,93000,2,11,5,115,4,151300,1,0.02608695652
1,1484350225,2615,1299.5,3,30000,2,15,5,95,5,71000,200,0.03157894737
1,1491763918,2092,1241,3,68000,2,8,5,102,4,60020,173.2050808,0.02941176471
0,1206864,3661,1320.5,1,140000,2,11,-1,108,4,550039,189.7366596,0.009259259259
0,1414995,3661,1256,3,130000,1,11,9,105,5,60058,187.0828693,0.02857142857
0,1492116368,2092,1277,3,100000,2,8,5,100,5,60000,223.6067977,0.03
0,1490992609,2092,1320.5,1,122000,2,8,5,103,5,60046,1,0.009708737864
0,1488510248,3661,1244,3,59000,2,11,5,79,3,60040,173.2050808,0.03797468354
0,1486615180,3661,1325,1,195000,2,11,5,109,5,350703,221.3594362,0.009174311927
0,1487757489,3661,1259,3,74000,2,11,5,95,5,60036,207.3185954,0.03157894737
0,1491928271,2092,,2,81000,2,8,5,110,3,72014,163.5267562,0.01818181818
0,3636172,2092,1341.5,1,91000,1,8,5,100,4,151300,173.6605885,0.01
0,1492496272,2092,1314.5,1,89000,2,8,-1,100,5,60017,1,0.01
0,1487556036,3661,1289,1,97000,2,11,9,110,3,72008,200,0.009090909091
0,1714392,3661,1275.5,3,122000,2,11,9,108,4,60018,1,0.02777777778
0,1122276,3661,1203.5,3,76000,2,11,5,78,5,60005,173.2050808,0.03846153846
1,1487595362,3661,1365.5,1,130000,2,11,-1,100,3,341439,173.2050808,0.01
0,3596104,2092,1257.5,1,91000,2,8,5,90,3,72000,1,0.01111111111
0,632556,2615,1455.5,3,35000,2,15,5,92,5,60058,1,0.03260869565
0,1485235802,2615,1239.5,3,68000,2,15,5,100,5,60054,223.6067977,0.03
0,1486444520,3661,1325,1,80000,2,12,-1,82,3,60026,1,0.01219512195
0,3041088,2092,1313,3,338000,2,8,5,90,5,60004,1,0.03333333333
0,3566795,2092,,2,70000,2,8,5,90,3,72000,186.1451047,0.02222222222
0,2755789,2092,1415,3,93000,2,8,5,113,4,151300,273.8612788,0.02654867257
0,586552,2615,1223,3,54000,2,15,-1,112,4,450018,169.7056275,0.02678571429
0,1489700787,2092,1223,3,63000,2,8,5,91,5,60095,228.035085,0.03296703297
0,1487797186,3661,1287.5,3,144000,2,11,5,114,4,72000,221.3594362,0.02631578947
0,1485304808,2615,1257.5,3,95000,2,15,5,93,5,60036,1,0.03225806452
1,1512197,3661,1326.5,3,208000,2,11,5,105,4,510070,279.6640842,0.02857142857
0,1490423866,2092,1290.5,3,130000,2,8,9,114,4,60053,1,0.02631578947
0,1491744997,2092,,2,46000,2,8,5,114,4,60000,173.7843491,0.01754385965
0,1484012615,523,1217,2,300000,2,4,-1,79,5,550007,1,0.0253164557
0,2334333,3661,1350.5,1,235000,2,11,5,113,3,350704,360.5551275,0.008849557522
0,1492861707,3661,1322,3,68000,2,11,5,86,3,72015,1,0.03488372093
1,1490455772,2092,1310,3,88000,2,8,5,100,5,60005,1,0.03
0,1490105177,2092,1278.5,3,186000,2,8,5,100,5,72000,173.2050808,0.03
0,3730406,2092,1314.5,1,53000,2,8,5,103,5,151300,187.5393292,0.009708737864
0,765374,2615,,2,35000,2,16,-1,93,5,335534,105.9008971,0.02150537634
0,1490673178,2092,1313,3,98000,1,8,9,103,5,151300,173.2050808,0.02912621359
0,1491433357,2092,,2,105000,1,8,5,99,5,151300,186.7136846,0.0202020202
0,3514855,2092,1343,1,128000,2,8,-1,107,5,361022,1,0.009345794393
1,1491701219,2092,1223,3,73000,2,8,9,105,3,151300,1,0.02857142857
1,1491759466,2092,1281.5,3,95000,1,8,5,93,5,60047,173.2050808,0.03225806452
0,1489027422,3661,1230.5,1,129000,2,11,5,88,3,60043,1,0.01136363636
0,1488940237,3661,,3,35000,2,12,-1,86,3,650070,161.8548733,0.03488372093
0,1491711236,2092,,2,45000,2,8,9,114,4,60064,173.2050808,0.01754385965
0,1489248538,3661,1328,1,189000,2,11,9,85,5,60019,1,0.01176470588
0,2586613,2092,,2,49000,2,8,-1,113,4,72001,180.7235458,0.01769911504
0,1485803061,2615,1229,3,46000,2,15,-1,111,4,450071,187.0828693,0.02702702703
0,1486129170,2615,1269.5,1,114000,2,15,5,83,3,450058,141.4213562,0.01204819277
0,2578822,2092,1238,3,125000,2,8,9,85,5,60002,1,0.03529411765
1,1491251938,2092,1256,3,180000,2,8,5,105,5,60018,1,0.02857142857
0,1487980089,3661,1215.5,3,35000,2,11,9,113,4,60038,1,0.02654867257
0,3327129,2092,,2,38000,2,8,5,114,3,60014,159.066024,0.01754385965
0,3745246,3661,1350.5,1,137000,2,11,5,100,3,60048,178.8854382,0.01
0,348370,2615,,2,114000,2,15,5,110,4,72049,195.6910831,0.01818181818
1,1668759,3661,,2,89000,2,11,9,80,5,72001,243.1666095,0.025
0,1484829557,2615,1232,3,89000,2,15,9,112,4,72000,200,0.02678571429
0,324997,2615,1310,3,270000,2,15,5,115,4,60019,299.9533297,0.02608695652
1,1491720140,2092,,2,50000,2,8,5,87,5,60033,167.934511,0.02298850575
0,1486418179,3661,1259,3,147000,2,11,9,110,5,350029,421.0700654,0.02727272727
0,1485737023,2615,1413.5,1,204000,2,15,9,107,5,350002,200,0.009345794393
0,2758386,2092,1277,1,162000,2,8,5,85,5,151304,212.1320344,0.01176470588
0,3043685,2092,1298,1,124000,2,8,5,89,3,151009,200,0.01123595506
0,1003556,3661,1266.5,3,227000,2,11,9,112,4,151300,254.9509757,0.02678571429
0,685609,2615,1250,3,79000,2,15,5,110,4,72001,1,0.02727272727
0,2585500,2092,,2,54000,2,8,5,89,5,72016,189.7366596,0.02247191011
0,1490431286,2092,,2,130000,2,8,5,73,5,60024,207.8605302,0.02739726027
1,1487011037,3661,1239.5,3,73000,2,11,5,87,3,60090,223.6067977,0.03448275862
0,1490434625,2092,1290.5,3,140000,2,8,9,101,5,60063,1,0.0297029703
0,545000,2615,,3,94000,2,15,5,113,4,60057,193.6362569,0.02654867257
0,1491321315,2092,1287.5,3,127000,2,8,5,111,3,60059,200,0.02702702703
0,1490929539,2092,,2,58000,2,8,5,100,5,151300,196.2141687,0.02
1,1491126911,2092,1214,3,56000,2,8,5,109,3,151300,200,0.02752293578
1,1487428412,3661,1365.5,3,152000,1,11,5,84,5,60006,173.2050808,0.03571428571
0,3746359,3661,1302.5,1,105000,2,11,5,95,3,60000,1,0.01052631579
0,1114,523,1391,1,1200000,2,5,-1,64,5,361026,1,0.015625
0,1490229833,2092,1262,3,185000,2,8,5,105,5,151300,173.2050808,0.02857142857
0,1484116866,2615,1316,3,500000,2,15,5,104,5,72000,316.227766,0.02884615385
0,1491705300,2092,1278.5,3,115000,2,8,5,99,3,72000,173.2050808,0.0303030303
0,1484787263,2615,,3,154000,2,15,5,110,5,60036,212.1320344,0.02727272727
0,2884526,2092,,2,105000,2,8,9,110,5,72000,187.0561413,0.01818181818
0,1484025971,1046,1407.5,1,153000,2,3,9,112,5,151309,1,0.008928571429
